,,
001,District Law Enforcement,"278,843.01"
002,District Law Enforcement,"249,229.08"
003,District Law Enforcement,"157,580.99"
004,District Law Enforcement,"266,677.96"
005,District Law Enforcement,"341,655.63"
006,District Law Enforcement,"185,660.19"
007,District Law Enforcement,"287,769.01"
008,District Law Enforcement,"247,030.32"
009,District Law Enforcement,"253,168.68"
010,District Law Enforcement,"328,763.11"
Oil,District Law Enforcement,"93,910.57"
012,District Law Enforcement,"183,648.28"
014,District Law Enforcement,"148,840.34"
015,District Law Enforcement,"202,296.92"
016,District Law Enforcement,"163,546.17"
017,District Law Enforcement,"100,503.96"
018,District Law Enforcement,"180,131.06"
019,District Law Enforcement,"202,533.56"
020,District Law Enforcement,"156,896.87"
022,District Law Enforcement,"145,462.23"
024,Off. Deputy Chief A/3,"142,584.85"
025,District Law Enforcement,"224,519.61"
045,Gang Team Area 2,250.98
050,Airport Law Enforcement - North,"264,667.64"
051,Airport Law Enforcement - South,"35,364.38"
055,Gang Team Area 1,"23,205.09"
057,Traffic Administration Unit,"46,061.94"
059,Special Functions Support,"64,198.26"
060,Helicopter Unit,"8,330.60"
079,District Law Enforcement,"79,114.24"
102,District Law Enforcement,"8,172.98"
111,District Law Enforcement,"8,193.40"
114,District Law Enforcement,"5,950.17"
115,Office of Crime Control Strategies,"13,785.27"
116,Deployment Operations Center,"51,752.83"
120,Narcotics Division,"8,123.45"
121,Bureau of Internal Affairs,"97,131.02"
122,District Law Enforcement,"1,635.04"
123,Human Resources Division,"100,102.52"
124,Education & Training Division,"223,535.80"
125,Public Safety Information Technology (PSIT),"29,358.01"
126,District Law Enforcement,"9,167.66"
127,Field Services Section,"10,660.29"
128,Education & Training Division,259.68
129,District Law Enforcement,778.76
130,Bureau of Organizational Development,"4,661.24"
133,District Law Enforcement,"9,721.00"
134,Gang Investigation Division,993.76
135,Education & Training Division,"4,467.96"
136,District Law Enforcement,"4,528.90"
140,District Law Enforcement,"9,646.33"
141,District Law Enforcement,"6,607.13"
142,District Law Enforcement,"4,301.27"
143,District Law Enforcement,"6,870.92"
145,Traffic Administration Unit,"108,134.30"
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
April,"GRAND TOTAL: 11,715,142.09",
,,
153,Special Functions Support,"94,400.35"
161,Off. Deputy Chief A/2,"5,696.42"
163,Records Inquiry Section,"4,216.34"
166,District Law Enforcement,"29,793.36"
167,Evidence and Recovered Property Section,"1,591.23"
169,Police Documents Section,"2,039.47"
171,Central Detention Unit,"68,276.56"
172,District Law Enforcement,"1,077.16"
177,Field Services Section,"65,538.38"
180,Bureau Of Detectives - Administration,"35,781.18"
181,Detective Div. - Area 2,"82,056.13"
184,Special Investigations Unit,"7,860.57"
187,Detective Div. - Area 1,"27,405.83"
188,Gang Investigation Division,"1,625.64"
189,Narcotics Division,"879,274.35"
191,Intelligence Division,"165,537.69"
192,VICE,"76,101.32"
193,Gang Investigation Division,"344,350.20"
195,Narcotics Division,"63,413.92"
196,Asset Forfeiture Section,"40,785.79"
211,Off. Deputy Chief A/l,"180,679.06"
212,District Law Enforcement,"119,070.12"
213,Off. Deputy Chief A/3,"159,655.21"
222,District Law Enforcement,"11,493.00"
241,District Law Enforcement,"7,499.69"
261,Court Section,"10,702.27"
277,Forensic Services Unit,"117,249.07"
311,District Law Enforcement,"125,153.19"
312,Gang Team Area 2,"196,431.58"
313,District Law Enforcement,"131,502.57"
341,Forensic Services Unit,"40,318.38"
353,Special Weapons & Tactical Unit,"201,592.42"
376,Gang Team Area 1,"72,445.24"
384,Juvenile Intervention Support Center(JISC),"28,651.64"
441,Special Activities Section,"5,972.19"
442,Gang Investigation Division,"60,932.16"
541,Special Weapons & Tactical Unit,"1,077.16"
542,District Law Enforcement,"85,965.03"
543,Detached Services - Misc. Detail,"16,255.77"
545,District Law Enforcement,"3,336.18"
549,District Law Enforcement,"1,030.47"
602,District Law Enforcement,"4,710.47"
603,Off. Deputy Chief A/3,"48,137.89"
604,Central Homicide - Eval and Support Unit,"70,951.52"
606,Central Homicide - Eval and Support Unit,"211,496.12"
608,District Law Enforcement,"64,635.52"
610,Central Homicide - Eval and Support Unit,"680,778.20"
620,Detective Div. - Area 2,"529,452.79"
630,Detective Div. - Area 3,"587,461.69"
701,District Law Enforcement,"89,414.96"
702,CTA Security Unit,"2,170.53"
704,District Law Enforcement,"46,211.82"
720,District Law Enforcement,363.70
721,District Law Enforcement,"14,537.41"
,,
002,District Law Enforcement,"257,514.16"
003,District Law Enforcement,"139,755.35"
004,District Law Enforcement,"383,301.42"
005,District Law Enforcement,"416,459.10"
006,District Law Enforcement,"238,644.50"
007,District Law Enforcement,"435,372.85"
008,District Law Enforcement,"350,160.18"
009,District Law Enforcement,"452,198.32"
010,District Law Enforcement,"481,981.40"
Oil,District Law Enforcement,"259,889.38"
012,District Law Enforcement,"261,814.18"
014,District Law Enforcement,"261,276.35"
015,District Law Enforcement,"323,510.03"
016,Gang Team Area 3,"277,970.74"
